sra,PHA00201,PHA00428,PHA00452,PHA00653,PHA00664,PHA00667,PHA00684,PHA00727,PHA00735,PHA00821,PHA01547,PHA01808,PHA02030,PHA02031,PHA02100,PHA02123,PHA02447,PHA02529,PHA02539,PHA02541,PHA02550,PHA02553,PHA02555,PHA02566,PHA02572,PHA02582,PHA02584,PHA02587,PHA02607,PHA02613,PHA02616,PHA02664,PHA02674,PHA02685,PHA02693,PHA02701,PHA02774,PHA02776,PHA02778,PHA02779,PHA02952,PHA03067,PHA03095,PHA03111,PHA03124,PHA03127,PHA03133,PHA03134,PHA03140,PHA03144,PHA03145,PHA03146,PHA03162,PHA03173,PHA03178,PHA03179,PHA03225,PHA03230,PHA03231,PHA03232,PHA03233,PHA03242,PHA03246,PHA03247,PHA03248,PHA03252,PHA03261,PHA03263,PHA03264,PHA03270,PHA03273,PHA03275,PHA03292,PHA03293,PHA03294,PHA03302,PHA03307,PHA03309,PHA03311,PHA03321,PHA03323,PHA03325,PHA03326,PHA03332,PHA03333,PHA03342,PHA03343,PHA03344,PHA03346,PHA03348,PHA03349,PHA03352,PHA03359,PHA03362,PHA03366,PHA03367,PHA03368,PHA03369,PHA03375,PHA03380,PHA03381,PHA03384,PHA03385,PHA03387,PHA03392,PHA03393,PHA03394,PHA03399,PHA03414,PHA03415,TIGR04198,TIGR04233,TIGR04236,cd00205,cd15464,pfam00429,pfam00506,pfam00513,pfam00729,pfam00747,pfam00761,pfam00844,pfam00915,pfam00971,pfam01001,pfam01065,pfam01366,pfam01443,pfam01499,pfam01538,pfam01561,pfam01601,pfam01621,pfam01673,pfam01766,pfam02053,pfam02123,pfam02247,pfam02336,pfam02442,pfam02689,pfam02956,pfam02957,pfam03014,pfam03035,pfam03038,pfam03084,pfam03122,pfam03229,pfam03325,pfam03337,pfam03361,pfam03431,pfam03910,pfam03955,pfam04451,pfam04513,pfam04523,pfam04544,pfam04559,pfam04623,pfam05072,pfam05268,pfam05311,pfam05518,pfam05941,pfam06016,pfam06070,pfam06088,pfam06126,pfam06284,pfam07124,pfam07134,pfam08710,pfam08949,pfam09018,pfam09408,pfam11053,pfam11091,pfam11590,pfam11602,pfam12259,pfam12526,pfam12601
SRR1031262,35,0,30,12,16,8,63,133,36,0,0,0,26,0,18,0,144,32,15,2,46,0,4,4,40,25,38,0,0,29,10,124,72,0,0,0,0,0,0,0,36,4,0,3,4,0,8,8,42,133,74,0,10,2,94,14,8,0,66,16,40,0,2,90,94,0,6,16,10,0,4,0,0,52,15,0,1219,48,214,2,0,0,2,2,0,0,90,2,2,8,0,6,101,67,0,18,0,0,39,24,0,0,267,36,0,69,4,6,84,4,0,2,2,0,0,0,30,6,0,20,12,9,18,0,0,0,0,10,22,0,6,0,0,0,0,0,0,26,0,0,46,12,0,80,18,0,9,0,0,30,0,0,2,54,36,11,50,2,0,101,30,0,135,2,0,10,115,14,0,0,69,14,75,0,30,3,0,0,9,12,0,0,0,0
SRR1031271,0,0,4,0,0,0,0,12,4,0,0,0,2,0,0,0,16,0,5,0,4,0,0,4,0,16,4,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,13,4,0,0,0,0,0,2,0,4,0,4,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,50,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,3,2,0,0,0,0,4,0,0,0,26,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0
SRR1031279,5,0,8,0,0,8,25,47,14,0,0,0,30,0,6,0,56,16,6,4,36,0,2,0,0,2,11,0,7,0,8,25,28,0,0,0,0,0,0,0,14,0,0,0,2,0,8,0,14,39,26,0,0,0,26,4,2,0,16,14,14,0,2,27,32,2,2,16,6,0,4,0,0,14,5,0,284,15,25,0,0,0,0,2,0,0,28,0,0,0,0,0,25,20,0,8,0,0,18,6,2,0,99,10,0,26,0,0,21,0,0,0,0,0,0,0,2,0,0,8,6,0,8,0,2,0,2,6,8,0,6,0,0,0,0,0,0,4,0,0,0,0,0,16,6,0,6,0,0,24,0,0,0,21,20,0,40,0,0,36,4,0,118,4,0,2,18,2,0,0,24,12,24,0,24,3,0,2,0,0,0,0,0,0
SRR1106550,0,0,4,4,0,0,3,24,8,0,0,0,2,0,0,0,32,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,16,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,8,21,9,0,0,0,0,0,0,0,8,3,8,0,0,4,9,0,0,4,0,0,0,0,0,0,2,0,80,3,35,0,0,0,0,0,0,0,10,0,0,0,0,0,0,6,0,4,0,0,8,0,0,0,42,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,6,0,0,0,12,4,0,10,0,0,12,0,0,17,0,0,0,8,0,0,0,12,0,6,0,6,0,0,0,0,4,0,0,0,0
SRR1145904,23,2,16,4,12,8,19,50,10,0,0,0,19,0,0,0,40,7,0,0,16,0,4,6,20,24,15,0,0,9,10,35,20,0,0,0,0,0,0,0,10,0,0,0,2,0,8,0,8,46,26,0,2,0,26,2,0,0,12,4,10,0,0,18,21,0,0,10,4,2,0,0,0,16,5,0,293,3,16,0,0,0,2,0,0,2,28,0,0,4,0,0,18,23,0,2,0,0,11,8,0,0,68,8,0,16,0,6,21,0,0,0,0,0,0,0,2,2,0,8,0,6,2,0,4,0,0,8,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,20,0,0,0,0,0,27,0,0,0,15,12,6,45,2,0,24,9,0,99,0,0,2,38,6,0,0,27,0,6,0,27,3,0,0,3,0,0,0,0,0
SRR1145905,0,0,8,0,4,8,32,105,30,4,0,0,16,0,0,0,120,6,40,0,8,0,0,2,140,10,12,0,2,110,4,18,60,0,3,0,0,2,0,0,30,0,0,6,2,0,0,0,30,90,42,0,0,2,16,4,4,0,34,7,37,0,0,36,45,0,0,6,0,0,0,0,0,16,0,0,378,21,32,0,0,0,0,0,0,0,42,0,0,2,0,0,15,12,0,6,0,0,39,8,0,0,170,4,0,37,0,0,7,0,0,4,0,0,0,0,4,0,0,4,9,9,4,0,0,0,0,2,4,0,0,2,0,0,0,0,0,6,0,0,0,6,0,8,0,0,6,0,0,12,0,0,2,45,4,0,20,0,0,59,2,0,38,0,0,2,54,2,0,0,54,0,42,0,12,0,0,0,36,4,0,0,0,0
SRR1145912,30,0,14,0,4,8,22,99,28,0,0,0,30,0,3,0,112,18,5,0,30,0,4,2,30,24,22,0,2,11,8,37,56,0,3,0,0,0,0,0,29,0,0,0,0,0,8,2,30,88,45,2,6,4,22,4,0,0,35,2,31,0,2,18,38,0,2,15,4,2,0,0,0,14,5,0,568,9,70,0,0,0,0,2,0,0,46,0,0,4,0,0,23,15,0,4,0,0,32,6,0,0,159,10,0,26,2,0,42,0,0,4,0,0,0,0,8,10,0,2,3,3,2,8,0,0,0,6,2,0,0,0,0,0,0,0,0,8,0,0,8,6,0,12,3,0,9,0,0,9,2,0,2,42,16,2,15,0,0,52,12,0,58,2,0,4,61,4,0,0,51,2,17,0,9,3,0,0,3,0,0,0,0,0
SRR1145967,0,2,0,0,0,8,0,6,2,4,0,0,2,0,0,0,8,6,0,0,13,0,2,2,0,10,7,0,0,0,4,3,4,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,4,5,8,0,0,2,6,4,0,0,2,2,2,0,0,14,2,0,0,15,0,0,0,0,0,4,2,0,96,0,3,0,0,0,0,0,0,0,2,0,0,4,0,0,10,18,0,8,0,0,2,2,0,0,10,0,0,5,0,3,7,0,0,0,0,0,0,0,0,2,0,8,3,9,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,8,0,0,6,0,0,21,0,0,0,3,0,4,35,0,0,5,0,0,77,0,0,0,2,4,0,0,3,0,0,0,21,0,0,0,0,0,0,0,0,0
SRR1158928,0,2,16,0,12,4,24,115,30,0,0,0,7,0,9,0,120,22,5,2,20,0,2,4,0,23,17,0,0,20,12,40,60,0,0,0,0,0,0,0,31,2,0,3,0,0,0,0,32,104,33,0,0,2,28,4,2,0,38,6,32,3,0,17,45,0,0,17,2,0,0,0,0,17,4,0,484,12,44,0,0,0,4,0,0,0,54,0,0,8,0,0,17,18,0,6,2,0,32,12,0,0,183,6,0,30,0,0,14,0,0,2,0,0,0,12,8,6,0,4,12,9,8,0,4,0,0,8,6,0,0,0,0,0,0,0,0,3,12,0,0,6,0,24,9,0,6,0,0,15,2,0,2,45,12,2,25,0,0,52,4,0,80,0,0,2,55,8,0,0,60,10,6,0,15,3,0,4,6,0,0,0,0,0
SRR1159060,11,0,38,0,12,8,41,224,58,4,0,0,14,0,15,0,232,22,0,0,60,0,4,0,30,18,32,0,2,29,10,95,116,0,6,0,0,2,0,0,58,4,0,0,2,0,8,0,60,207,85,0,4,0,62,6,4,0,67,4,62,0,0,48,98,0,0,16,4,0,4,0,0,31,10,0,1209,24,112,2,0,0,2,0,0,2,110,0,0,4,2,4,51,49,0,12,0,0,68,18,2,0,365,20,0,73,0,3,49,2,0,8,0,0,0,9,8,2,0,4,3,6,10,0,4,0,0,8,16,0,0,0,0,0,0,0,0,4,9,0,0,15,0,52,15,0,15,0,0,27,0,0,2,87,36,8,45,0,0,117,12,0,111,4,0,8,127,10,0,0,117,12,24,0,27,3,0,6,9,4,0,0,0,0
SRR1159174,2,0,18,0,4,4,15,87,24,4,0,5,17,0,3,0,96,9,5,0,20,0,4,0,40,14,6,0,4,9,8,35,48,0,3,0,0,0,0,0,24,6,0,3,0,0,8,2,28,87,41,0,0,0,28,2,4,0,28,6,26,0,0,12,39,0,0,2,2,0,0,0,0,19,2,0,519,6,35,0,0,0,2,0,0,0,42,2,0,4,0,0,32,27,0,6,0,0,26,16,0,0,151,10,0,28,0,0,21,0,0,2,0,0,0,9,4,6,0,2,6,6,8,4,4,0,0,8,6,0,0,0,0,0,0,0,0,4,9,0,0,3,0,24,3,0,6,0,0,9,0,0,0,36,16,4,15,0,0,54,4,0,41,2,0,2,54,8,0,0,45,4,6,0,9,6,0,2,3,0,0,0,0,0
SRR1159244,0,2,0,0,0,8,0,6,2,4,0,0,2,0,0,0,8,6,0,0,13,0,2,2,0,8,7,0,0,0,4,3,4,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,4,5,8,0,0,2,6,4,0,0,2,2,2,0,0,14,2,0,0,6,0,0,0,0,0,4,2,0,88,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,10,10,0,0,0,0,2,2,0,0,10,0,0,5,0,3,7,0,0,0,0,0,0,0,0,0,0,2,3,9,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,8,0,0,6,0,0,9,0,0,0,3,0,4,15,0,0,5,0,0,42,0,0,0,2,4,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0
SRR1159743,2,0,10,0,4,4,0,53,16,4,0,0,17,0,3,0,64,6,0,0,4,0,0,2,0,10,13,0,2,2,8,20,32,0,0,0,0,0,0,0,16,0,0,3,0,0,0,0,16,49,24,0,0,4,14,4,4,0,18,3,17,0,0,9,18,0,0,9,0,0,0,0,0,8,2,0,232,3,15,0,0,0,0,0,0,0,18,0,0,4,0,0,13,8,0,4,0,0,16,4,0,0,84,2,0,9,0,0,14,0,0,6,0,0,0,3,2,0,0,4,3,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,3,0,0,6,0,0,2,24,4,0,10,0,0,29,2,0,28,0,0,2,38,0,0,0,27,0,0,0,6,0,0,0,0,0,0,0,0,0
SRR1159783,6,0,12,0,4,8,11,52,14,0,0,0,22,0,0,0,56,8,0,0,21,0,0,2,0,15,4,0,0,9,2,26,28,0,0,0,0,0,0,0,14,0,0,0,0,0,8,0,10,46,20,0,2,0,22,0,0,0,18,5,19,0,0,11,20,4,4,8,0,0,0,0,0,10,0,0,277,3,22,0,0,0,0,0,0,0,26,0,0,0,0,0,15,22,0,8,0,0,16,6,0,0,87,12,0,20,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,3,2,0,0,0,2,6,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,12,0,0,0,21,20,6,20,0,0,29,4,0,55,2,0,4,24,0,0,0,27,0,6,0,12,3,0,2,3,0,0,0,0,0
SRR1159953,0,2,0,0,0,8,4,12,4,4,0,0,2,0,0,0,16,6,0,0,15,0,2,2,0,10,5,0,0,0,4,6,8,0,0,0,0,2,0,0,4,0,0,0,2,0,0,0,4,10,11,0,0,2,8,4,0,0,4,11,5,0,0,18,5,0,2,17,0,0,0,0,0,4,2,0,112,0,6,0,0,0,0,0,0,0,4,0,0,6,0,0,12,19,0,8,0,0,5,2,0,0,20,0,0,5,0,3,7,0,0,0,0,0,0,0,0,2,0,8,3,6,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,8,0,0,6,0,0,21,2,0,0,6,0,4,35,0,0,10,0,0,77,0,0,0,7,4,0,0,6,0,6,0,21,0,0,2,0,0,0,0,0,0
SRR1160388,6,0,18,0,8,0,15,75,20,4,0,0,17,0,3,0,80,6,0,0,22,0,0,2,10,22,6,0,0,9,10,32,40,0,0,0,0,0,0,0,20,0,0,0,2,0,4,0,18,70,32,0,2,0,28,0,0,0,25,10,21,0,0,11,30,2,2,15,2,0,0,0,0,10,2,0,333,6,55,0,2,0,4,0,0,0,36,0,2,4,0,0,14,23,0,8,0,0,24,4,0,0,124,8,0,18,0,0,14,0,0,2,0,0,0,0,4,2,0,10,0,3,4,0,0,0,0,8,4,0,0,0,0,0,0,0,0,4,0,0,7,0,0,12,3,0,0,0,0,21,0,0,0,30,16,6,35,2,0,41,11,0,73,2,2,2,38,0,0,0,39,0,12,0,21,3,0,0,3,0,0,0,0,0
SRR1160732,0,0,10,0,4,12,32,99,28,8,0,0,26,0,0,0,112,6,65,0,8,0,0,2,130,10,14,0,2,112,2,25,56,0,3,0,0,2,0,0,28,0,0,6,2,0,0,0,28,87,36,0,0,2,18,4,2,0,32,7,35,0,0,35,43,0,0,10,0,0,0,0,0,16,2,0,412,21,30,0,0,0,0,0,0,0,40,0,0,2,0,0,15,14,0,8,0,0,37,8,0,0,160,4,0,37,0,0,21,0,0,2,0,0,0,3,4,0,0,6,9,9,4,0,0,0,0,4,4,0,0,2,0,0,0,0,0,6,3,0,0,9,0,8,0,0,6,0,0,12,0,0,4,42,4,0,20,0,0,56,4,0,46,0,0,2,44,2,0,0,51,2,42,0,12,0,0,0,36,4,0,0,0,0
SRR1160806,4,2,14,0,4,4,11,104,28,4,0,0,19,0,3,0,112,9,5,0,16,0,4,2,10,29,10,0,4,0,6,37,56,0,3,0,0,0,0,0,28,6,0,3,2,0,4,2,32,94,45,0,0,0,24,2,4,0,30,6,28,0,0,12,39,0,0,6,2,0,0,0,0,11,2,0,562,6,43,0,0,0,2,0,0,0,42,2,0,4,0,0,20,37,0,10,0,0,28,6,0,0,164,6,0,25,0,0,21,0,0,2,0,0,0,9,2,8,0,2,6,9,10,4,4,0,0,6,4,0,0,0,0,0,0,0,0,4,9,0,0,0,0,20,3,0,6,0,0,15,0,0,0,42,12,10,25,0,0,52,2,0,66,0,0,0,52,8,0,0,54,4,6,0,15,6,0,2,0,0,0,0,0,0
SRR1160905,0,0,10,0,4,12,32,111,32,4,0,0,11,0,3,0,128,6,40,0,8,0,0,0,80,2,12,0,2,65,6,18,64,0,3,0,0,2,0,0,32,12,0,6,2,0,0,0,32,94,42,0,0,2,16,4,2,0,36,9,39,0,0,35,48,0,0,6,0,0,0,0,0,16,0,0,395,24,32,0,0,0,0,0,0,0,42,0,0,2,0,0,15,12,0,6,0,0,41,8,0,0,180,4,0,27,0,0,14,0,0,4,0,0,0,3,4,0,0,4,9,9,4,0,0,0,0,6,4,0,0,2,0,0,0,0,0,6,3,0,0,6,0,12,3,0,6,0,0,12,0,0,2,48,4,0,20,0,0,62,4,0,38,0,0,2,52,2,0,0,57,0,42,0,12,3,0,0,21,4,0,0,0,0
SRR1160948,7,0,10,0,8,4,3,47,14,4,0,0,24,0,3,0,56,6,0,0,4,0,0,2,0,17,15,0,2,0,6,20,28,0,0,0,0,2,0,0,14,0,0,0,0,0,4,0,14,44,20,0,2,2,12,4,4,0,16,5,14,0,0,13,15,0,0,8,0,0,0,0,0,4,2,0,226,6,13,0,0,0,0,0,0,0,14,0,0,4,0,0,13,8,0,4,0,0,14,2,0,0,72,2,0,7,0,0,21,0,0,6,0,0,0,3,4,0,0,4,3,9,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,3,0,3,0,0,6,0,0,0,21,0,0,10,0,0,26,0,0,28,0,0,2,33,0,0,0,24,0,6,0,6,3,0,0,0,0,0,0,0,0
SRR1160978,2,0,10,0,4,4,0,53,16,4,0,0,17,0,3,0,64,6,0,0,4,0,0,2,0,10,13,0,2,2,8,20,32,0,0,0,0,0,0,0,16,0,0,3,0,0,0,0,16,49,24,0,0,4,14,4,4,0,18,3,17,0,0,9,18,0,0,9,0,0,0,0,0,8,2,0,232,3,15,0,0,0,0,0,0,0,18,0,0,4,0,0,13,8,0,4,0,0,16,4,0,0,84,2,0,9,0,0,14,0,0,6,0,0,0,3,2,0,0,4,3,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,3,0,0,6,0,0,2,24,4,0,10,0,0,29,2,0,28,0,0,2,38,0,0,0,27,0,0,0,6,0,0,0,0,0,0,0,0,0
SRR1161025,0,0,10,0,0,12,32,111,32,8,0,0,17,0,3,0,128,6,40,0,4,0,0,2,70,12,14,0,2,112,2,22,64,0,3,0,0,2,0,0,32,12,0,6,2,0,0,0,32,96,42,0,0,2,18,4,2,0,34,7,39,0,0,35,48,0,0,6,0,0,0,0,0,14,0,0,403,24,35,0,0,0,0,0,0,0,44,0,0,2,0,0,13,10,0,6,0,0,41,8,0,0,180,4,0,32,0,0,7,0,0,6,0,0,0,0,2,0,0,4,9,9,4,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,9,0,8,3,0,6,0,0,12,0,0,4,48,4,0,20,0,0,62,2,0,38,0,0,2,51,2,0,0,57,0,42,0,12,0,0,0,36,4,0,0,0,0
SRR1161169,25,0,30,4,12,4,12,116,32,8,0,5,41,0,3,0,128,13,0,0,25,0,6,6,30,24,24,0,4,9,18,53,64,0,0,0,0,0,0,0,32,2,0,0,6,0,4,2,32,108,48,0,4,0,34,2,2,0,38,10,33,0,0,12,53,2,0,15,0,0,0,0,0,18,5,0,562,3,33,0,0,0,0,0,0,0,52,0,0,10,0,0,29,35,0,8,0,0,32,12,0,0,189,6,0,28,0,0,21,2,0,4,0,0,0,0,6,6,0,8,0,9,2,4,2,0,0,12,6,0,0,0,0,0,0,0,0,16,0,0,0,0,0,16,3,0,6,0,0,24,0,0,0,48,8,0,40,0,0,62,8,0,100,0,0,6,64,4,0,0,60,2,0,0,24,6,0,0,3,0,0,0,0,0
SRR1161268,27,0,30,4,16,8,12,132,34,4,0,0,21,0,15,0,136,10,6,2,40,0,0,4,20,16,22,0,2,38,14,77,68,0,0,0,0,2,0,0,34,2,0,0,0,0,0,0,38,115,56,0,10,2,50,6,2,0,38,9,35,0,0,13,53,0,0,19,2,0,0,0,0,28,7,0,602,15,52,2,2,0,0,0,0,0,50,0,0,4,0,0,40,26,0,4,0,0,35,8,0,0,205,12,0,36,0,6,63,0,0,6,0,0,0,0,4,0,0,6,15,6,2,0,2,0,0,8,6,0,0,0,2,0,0,0,0,20,0,0,7,3,0,48,15,0,12,0,0,30,0,0,2,51,12,11,50,2,0,78,16,0,128,4,0,6,75,6,0,0,69,0,0,0,30,6,0,2,12,8,0,0,0,3
SRR1161274,0,2,0,0,0,8,0,6,2,4,0,0,2,0,0,0,8,6,0,0,13,0,2,2,0,10,7,0,0,0,4,3,4,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,4,5,8,0,0,2,6,4,0,0,2,2,2,0,0,14,2,0,0,6,0,0,0,0,0,4,2,0,88,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,10,10,0,0,0,0,2,2,0,0,10,0,0,5,0,3,7,0,0,0,0,0,0,0,0,2,0,2,3,9,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,8,0,0,6,0,0,9,0,0,0,3,0,4,15,0,0,5,0,0,42,0,0,0,2,4,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0
SRR1161283,22,2,12,8,12,16,17,63,16,8,0,0,29,0,9,0,64,27,5,0,48,0,2,0,20,2,23,0,2,20,22,37,32,0,3,0,0,0,0,0,16,4,0,0,4,0,12,2,16,55,28,0,4,2,24,6,2,0,21,4,16,3,4,19,35,0,0,11,4,0,0,0,0,13,4,0,410,9,55,0,0,0,0,4,0,4,38,0,0,2,0,0,27,30,0,14,0,0,19,4,2,0,117,10,0,47,0,3,21,2,0,4,0,0,0,3,4,4,0,6,6,12,0,0,0,0,0,10,8,0,0,3,0,0,0,0,0,8,6,0,7,15,0,12,9,0,18,0,0,12,0,0,2,24,16,2,20,0,0,41,8,0,84,2,0,0,43,4,0,0,33,6,18,0,12,0,0,0,6,0,0,0,0,0
SRR1197613,2,0,8,0,4,4,0,47,14,4,0,0,17,0,3,0,56,6,0,0,8,0,0,2,0,10,13,0,2,11,6,16,28,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,14,42,20,0,0,2,8,4,2,0,16,3,14,0,0,9,15,0,0,11,0,0,0,0,0,4,2,0,212,3,15,0,0,0,0,0,0,0,16,0,0,4,0,0,9,9,0,4,0,0,14,2,0,0,74,2,0,10,0,0,21,0,0,6,0,0,0,3,2,0,0,4,3,6,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,6,0,0,6,0,0,2,21,4,0,10,0,0,24,2,0,36,0,0,0,33,2,0,0,24,2,0,0,6,0,0,0,3,0,0,0,0,0
SRR1197633,2,0,8,0,4,4,0,47,14,4,0,0,17,0,3,0,56,6,0,0,8,0,0,2,0,10,13,0,2,11,6,16,28,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,14,42,20,0,0,2,8,4,2,0,16,3,14,0,0,9,15,0,0,11,0,0,0,0,0,4,2,0,212,3,15,0,0,0,0,0,0,0,16,0,0,4,0,0,9,9,0,4,0,0,14,2,0,0,74,2,0,10,0,0,21,0,0,6,0,0,0,3,2,0,0,4,3,6,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,6,0,0,6,0,0,2,21,4,0,10,0,0,24,2,0,36,0,0,0,33,2,0,0,24,2,0,0,6,0,0,0,3,0,0,0,0,0
SRR1197689,2,0,8,0,4,4,0,47,14,4,0,0,17,0,3,0,56,6,0,0,8,0,0,2,0,10,13,0,2,11,6,16,28,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,14,42,20,0,0,2,8,4,2,0,16,5,14,0,0,9,15,0,0,11,0,0,0,0,0,4,2,0,212,3,15,0,0,0,0,0,0,0,16,0,0,4,0,0,9,9,0,4,0,0,14,2,0,0,74,2,0,10,0,0,21,0,0,6,0,0,0,3,2,0,0,4,3,6,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,6,0,0,6,0,0,2,21,4,0,10,0,0,24,2,0,36,0,0,0,33,2,0,0,24,2,0,0,6,0,0,0,3,0,0,0,0,0
SRR1197729,2,0,8,0,4,4,0,47,14,4,0,0,17,0,3,0,56,6,0,0,8,0,0,2,0,10,13,0,2,11,6,16,28,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,14,42,20,0,0,2,8,4,2,0,16,3,14,0,0,9,15,0,0,11,0,0,0,0,0,4,2,0,212,3,15,0,0,0,0,0,0,0,16,0,0,4,0,0,9,9,0,4,0,0,14,2,0,0,74,2,0,10,0,0,21,0,0,6,0,0,0,3,2,0,0,4,3,6,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,6,0,0,6,0,0,2,21,4,0,10,0,0,24,2,0,36,0,0,0,33,2,0,0,24,2,0,0,6,0,0,0,3,0,0,0,0,0
SRR1197760,2,0,8,0,4,4,0,47,14,4,0,0,17,0,3,0,56,6,0,0,8,0,0,2,0,10,13,0,2,11,6,16,28,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,14,42,20,0,0,2,8,4,2,0,16,3,14,0,0,9,15,0,0,11,0,0,0,0,0,4,2,0,212,3,15,0,0,0,0,0,0,0,16,0,0,4,0,0,9,9,0,4,0,0,14,2,0,0,74,2,0,10,0,0,21,0,0,6,0,0,0,3,2,0,0,4,3,6,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,6,0,0,6,0,0,2,21,4,0,10,0,0,24,2,0,36,0,0,0,33,2,0,0,24,2,0,0,6,0,0,0,3,0,0,0,0,0
SRR1202095,10,0,0,0,0,0,7,17,4,0,0,0,0,0,0,0,16,3,5,2,8,0,0,0,0,11,0,0,0,0,8,5,8,0,0,0,0,0,0,0,4,2,0,0,0,0,4,0,4,12,6,0,0,0,6,6,0,0,4,6,4,0,0,12,12,0,0,16,0,0,0,0,0,6,0,0,79,6,50,0,0,0,2,0,0,0,6,0,0,0,0,0,10,15,0,6,0,0,4,2,0,0,28,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,12,0,0,16,0,0,12,0,0,0,0,0,15,0,0,0,6,0,4,25,0,0,12,4,0,84,2,0,0,7,0,0,0,9,0,12,0,15,0,0,0,0,0,0,0,0,0
SRR1211526,117,2,74,4,16,24,108,287,94,8,0,10,18,0,6,0,376,26,5,4,65,0,2,14,50,62,40,3,4,36,40,125,188,0,6,0,0,4,0,0,95,4,9,12,6,0,4,2,94,304,121,0,12,2,112,18,10,0,104,15,102,3,4,131,144,0,0,50,6,5,4,0,0,72,28,0,1905,48,240,0,0,0,6,4,0,2,162,0,4,10,0,4,82,89,0,20,2,0,101,54,2,0,543,34,0,59,2,0,119,4,0,14,0,0,0,9,10,6,0,22,15,27,12,0,6,0,2,16,18,0,6,2,0,0,0,0,0,12,9,0,28,18,0,68,6,0,9,0,0,33,2,0,0,141,48,14,55,0,4,177,49,0,183,2,2,0,224,18,0,0,144,14,95,2,33,6,0,4,12,12,0,0,0,0
SRR1211639,19,0,8,8,4,8,35,45,10,4,0,5,20,0,12,0,40,23,0,4,24,0,0,2,0,8,15,0,4,9,18,34,20,0,6,0,0,2,0,0,10,0,0,3,0,0,4,4,10,38,23,0,4,0,28,0,0,0,18,11,12,0,0,12,34,0,0,18,2,0,4,0,0,26,10,0,356,15,23,0,0,0,0,0,0,0,44,0,0,0,0,0,19,40,0,18,0,0,13,16,0,0,90,12,0,17,0,3,7,0,0,2,0,0,0,0,8,4,0,16,9,3,12,0,0,0,0,4,10,0,0,0,0,0,0,0,0,8,0,0,0,3,0,20,12,0,15,0,0,30,0,0,0,15,8,2,50,0,2,26,10,0,114,0,0,0,37,2,0,0,24,4,6,0,30,6,0,4,3,0,0,0,0,0
