sra,PHA00201,PHA00428,PHA00452,PHA00653,PHA00664,PHA00667,PHA00684,PHA00727,PHA00735,PHA00821,PHA01547,PHA01808,PHA02030,PHA02031,PHA02100,PHA02123,PHA02447,PHA02529,PHA02539,PHA02541,PHA02550,PHA02553,PHA02555,PHA02566,PHA02572,PHA02582,PHA02584,PHA02587,PHA02607,PHA02613,PHA02616,PHA02664,PHA02674,PHA02685,PHA02693,PHA02701,PHA02774,PHA02776,PHA02778,PHA02779,PHA02952,PHA03067,PHA03095,PHA03111,PHA03124,PHA03127,PHA03133,PHA03134,PHA03140,PHA03144,PHA03145,PHA03146,PHA03162,PHA03173,PHA03178,PHA03179,PHA03225,PHA03230,PHA03231,PHA03232,PHA03233,PHA03242,PHA03246,PHA03247,PHA03248,PHA03252,PHA03261,PHA03263,PHA03264,PHA03270,PHA03273,PHA03275,PHA03292,PHA03293,PHA03294,PHA03302,PHA03307,PHA03309,PHA03311,PHA03321,PHA03323,PHA03325,PHA03326,PHA03332,PHA03333,PHA03342,PHA03343,PHA03344,PHA03346,PHA03348,PHA03349,PHA03352,PHA03359,PHA03362,PHA03366,PHA03367,PHA03368,PHA03369,PHA03375,PHA03380,PHA03381,PHA03384,PHA03385,PHA03387,PHA03392,PHA03393,PHA03394,PHA03399,PHA03414,PHA03415,TIGR04198,TIGR04233,TIGR04236,cd00205,cd15464,pfam00429,pfam00506,pfam00513,pfam00729,pfam00747,pfam00761,pfam00844,pfam00915,pfam00971,pfam01001,pfam01065,pfam01366,pfam01443,pfam01499,pfam01538,pfam01561,pfam01601,pfam01621,pfam01673,pfam01766,pfam02053,pfam02123,pfam02247,pfam02336,pfam02442,pfam02689,pfam02956,pfam02957,pfam03014,pfam03035,pfam03038,pfam03084,pfam03122,pfam03229,pfam03325,pfam03337,pfam03361,pfam03431,pfam03910,pfam03955,pfam04451,pfam04513,pfam04523,pfam04544,pfam04559,pfam04623,pfam05072,pfam05268,pfam05311,pfam05518,pfam05941,pfam06016,pfam06070,pfam06088,pfam06126,pfam06284,pfam07124,pfam07134,pfam08710,pfam08949,pfam09018,pfam09408,pfam11053,pfam11091,pfam11590,pfam11602,pfam12259,pfam12526,pfam12601
ERR1137413,50,4,42,8,12,24,47,267,84,4,0,15,45,0,9,0,336,14,11,4,48,0,2,8,30,41,27,0,0,29,16,89,168,0,0,0,0,6,0,0,84,0,6,6,2,0,16,2,96,253,113,0,4,0,68,22,4,0,102,27,86,3,2,76,158,2,6,20,6,2,4,0,0,42,14,0,1431,24,183,2,0,0,0,2,0,8,128,0,0,4,0,0,53,70,0,27,2,0,95,10,0,0,492,26,0,54,0,3,56,2,0,8,0,0,0,3,18,4,0,16,9,6,16,0,4,0,0,6,30,0,6,11,0,0,0,0,0,15,3,0,16,9,0,72,9,0,21,0,0,42,0,0,2,126,28,6,72,0,2,156,22,0,208,4,0,8,147,14,0,0,135,20,36,2,42,3,0,8,9,8,0,0,0,3
ERR1137419,29,2,46,0,8,16,37,282,84,4,0,10,9,0,18,0,336,28,0,0,84,0,0,8,50,60,23,3,6,27,12,64,168,0,0,0,0,0,0,0,84,12,0,9,4,0,8,8,90,258,119,0,2,0,40,16,2,0,112,13,87,6,8,58,133,0,0,16,8,5,0,0,0,36,14,0,1352,36,203,0,0,0,0,8,0,0,122,0,0,8,0,0,47,69,0,23,2,0,89,20,2,0,482,24,0,67,0,6,35,2,0,10,0,0,0,9,28,14,0,6,18,3,2,12,12,0,0,14,20,0,0,0,0,0,0,0,0,30,9,0,23,12,0,56,18,0,9,0,0,33,0,0,0,126,32,2,55,4,0,146,12,0,149,4,0,2,154,10,0,0,144,12,47,0,33,3,0,4,9,8,2,0,0,3
ERR1297588,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,2,5,2,0,0,0,2,0,0,0,2,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,37,0,5,0,0,0,0,0,0,0,4,0,0,2,0,0,2,4,0,0,0,0,2,2,0,0,12,2,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,0,0,0,0,3,2,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1297611,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1297648,5,8,8,0,0,4,4,42,14,4,0,0,7,0,6,0,56,3,10,0,12,0,2,2,10,15,13,3,0,0,14,21,28,0,0,0,0,0,0,0,14,6,0,0,2,0,0,0,16,42,17,0,2,4,14,4,0,0,20,9,15,0,2,8,22,0,6,13,2,2,4,0,0,21,2,0,365,6,97,0,0,0,0,2,0,2,20,0,0,6,0,4,20,54,0,8,0,0,14,12,0,0,78,6,0,17,0,0,14,0,0,0,0,0,0,6,6,4,0,6,0,6,4,0,2,0,0,8,2,0,0,0,0,0,0,0,0,15,9,0,24,3,0,8,6,0,9,0,0,24,0,0,0,21,4,6,40,0,0,32,11,0,100,2,0,2,27,6,0,0,21,4,0,2,24,0,0,6,0,0,0,0,0,0
ERR1297679,0,0,14,0,12,0,8,42,14,0,0,10,0,0,3,0,56,2,0,0,8,0,0,2,30,15,12,0,0,0,4,13,28,0,0,0,0,0,0,0,14,0,0,0,4,0,0,2,14,50,16,0,0,0,18,0,0,0,20,4,14,0,2,0,22,0,3,4,0,0,4,0,0,6,2,0,308,3,70,0,0,0,0,2,0,0,22,0,0,0,0,0,8,16,0,4,0,0,16,4,2,0,78,2,0,8,2,0,7,4,0,0,0,0,0,3,6,4,0,2,6,3,6,4,4,0,2,6,4,0,0,0,0,0,0,0,0,0,3,0,15,12,0,28,3,0,0,0,0,15,0,0,0,21,4,2,26,0,0,27,2,0,46,0,0,0,33,4,0,0,21,2,0,2,15,0,0,0,0,4,0,0,0,0
ERR1297745,24,0,48,8,16,0,41,463,134,20,0,5,6,0,12,0,544,8,10,2,115,0,6,4,70,27,22,3,4,58,12,105,272,0,0,0,0,2,0,0,135,2,3,9,10,0,12,6,138,406,160,0,12,2,94,22,4,0,150,13,143,3,2,82,228,12,15,7,10,3,4,0,0,64,30,0,1965,21,239,8,0,0,0,2,0,2,206,2,0,2,0,4,81,56,0,22,2,0,147,44,2,0,787,42,0,118,0,3,77,4,0,10,0,0,0,9,16,6,0,6,12,3,24,0,14,0,2,4,42,0,7,3,0,0,0,0,0,4,18,0,16,19,0,124,12,0,30,0,0,12,2,0,4,201,64,12,22,0,0,246,16,0,87,16,0,6,216,18,0,0,237,16,18,2,12,9,0,10,18,8,0,0,0,0
ERR1297763,0,2,6,0,12,4,10,65,20,4,0,10,2,0,0,0,80,2,5,0,16,0,2,2,20,15,16,0,0,0,8,19,40,0,0,0,0,2,0,0,20,0,3,0,8,0,0,2,20,59,24,0,0,0,20,2,0,0,24,6,20,0,2,12,28,0,3,10,2,0,4,0,0,8,6,0,417,6,81,0,0,0,0,2,0,2,30,0,0,0,0,2,15,16,0,12,0,0,22,4,0,0,112,4,0,16,2,0,21,2,0,2,0,0,0,3,4,0,0,4,6,3,6,0,2,0,2,0,4,0,7,0,0,0,0,0,0,0,3,0,15,9,0,24,0,0,3,0,0,18,0,0,0,30,8,2,31,0,0,40,2,0,64,0,0,2,32,4,0,0,33,4,12,2,18,0,0,0,0,4,0,0,0,0
ERR1297792,0,2,18,0,4,8,17,141,42,4,0,0,4,0,9,0,168,13,0,2,32,0,2,4,20,27,10,0,2,0,12,36,84,0,0,0,0,4,0,0,42,2,3,12,4,0,8,0,44,132,53,0,2,0,32,4,2,0,52,2,42,0,0,30,56,0,0,10,6,0,4,0,0,22,4,0,688,18,93,0,0,0,0,0,0,2,64,0,0,4,0,4,22,34,0,3,2,0,45,14,0,0,237,16,0,43,0,3,0,2,0,2,0,0,0,0,10,0,0,4,9,0,20,0,4,0,0,6,4,0,21,0,0,0,0,0,0,2,3,0,8,6,0,48,9,0,6,0,0,3,0,0,0,63,20,4,7,0,2,73,6,0,26,2,0,0,70,8,0,0,72,12,18,2,3,3,0,6,0,0,0,0,0,0
ERR1662187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
